"Update Time","Value","Unit","Temperature"
"02/08/2019 11:11:26pm","12.5660","MTR","24.0000"
"01/08/2019 11:08:12pm","10.7707","MTR","24.0000"
"31/07/2019 11:04:05pm","12.0907","MTR","24.0000"
"30/07/2019 11:01:34pm","12.0907","MTR","24.0000"
"29/07/2019 10:58:10pm","12.0187","MTR","24.0000"
"28/07/2019 10:55:39pm","11.8744","MTR","24.0000"
"27/07/2019 10:52:15pm","11.6324","MTR","24.0000"
"26/07/2019 10:49:44pm","11.2167","MTR","24.0000"
"25/07/2019 10:46:20pm","11.1428","MTR","23.0000"
"24/07/2019 10:43:49pm","9.4469","MTR","24.0000"
"23/07/2019 10:40:25pm","10.6206","MTR","24.0000"
"22/07/2019 10:37:54pm","10.6957","MTR","24.0000"
"21/07/2019 10:34:30pm","10.7707","MTR","24.0000"
"20/07/2019 10:31:59pm","10.8455","MTR","24.0000"
"19/07/2019 10:28:35pm","10.8703","MTR","24.0000"
"18/07/2019 10:26:04pm","10.8952","MTR","24.0000"
"17/07/2019 10:22:40pm","10.9200","MTR","24.0000"
"16/07/2019 10:19:17pm","10.8952","MTR","24.0000"
"15/07/2019 10:16:45pm","10.8703","MTR","24.0000"
"14/07/2019 10:13:22pm","10.8952","MTR","24.0000"
"13/07/2019 10:10:50pm","10.8952","MTR","24.0000"
"12/07/2019 10:07:27pm","10.7707","MTR","24.0000"
"11/07/2019 10:04:55pm","10.5705","MTR","24.0000"
"10/07/2019 10:01:32pm","10.2424","MTR","24.0000"
"09/07/2019 09:59:01pm","9.8085","MTR","24.0000"
"08/07/2019 09:54:55pm","9.4728","MTR","24.0000"
"07/07/2019 09:52:32pm","7.5506","MTR","24.0000"
"06/07/2019 09:50:10pm","7.1084","MTR","24.0000"
"05/07/2019 09:46:03pm","8.5786","MTR","24.0000"
"04/07/2019 09:42:49pm","8.5786","MTR","24.0000"
"03/07/2019 09:40:27pm","8.5253","MTR","24.0000"
"02/07/2019 09:37:13pm","8.4451","MTR","24.0000"
"01/07/2019 09:33:58pm","8.3379","MTR","24.0000"
"30/06/2019 09:31:35pm","8.3379","MTR","24.0000"
"29/06/2019 09:28:12pm","6.7450","MTR","24.0000"
"28/06/2019 09:25:40pm","8.3916","MTR","24.0000"
"27/06/2019 09:22:17pm","8.3647","MTR","24.0000"
"26/06/2019 09:19:45pm","8.3916","MTR","24.0000"
"25/06/2019 09:15:05am","8.4719","MTR","24.0000"
"24/06/2019 09:13:50pm","8.4986","MTR","24.0000"
"23/06/2019 09:10:27pm","8.4986","MTR","24.0000"
"22/06/2019 09:07:56pm","8.4451","MTR","24.0000"
"21/06/2019 09:04:32pm","8.4451","MTR","24.0000"
"20/06/2019 09:02:01pm","8.4451","MTR","24.0000"
"19/06/2019 08:58:37pm","8.4183","MTR","24.0000"
"18/06/2019 08:55:15pm","8.4183","MTR","24.0000"
"17/06/2019 08:52:42pm","8.4183","MTR","24.0000"
"16/06/2019 08:49:19pm","8.3647","MTR","23.0000"
"15/06/2019 08:46:48pm","8.3379","MTR","24.0000"
"14/06/2019 08:43:24pm","8.3647","MTR","24.0000"
"13/06/2019 08:40:53pm","8.3647","MTR","24.0000"
"12/06/2019 08:37:29pm","8.3647","MTR","23.0000"
"11/06/2019 08:34:58pm","8.3379","MTR","24.0000"
"10/06/2019 08:30:42pm","8.3647","MTR","24.0000"
"09/06/2019 08:28:12pm","8.3647","MTR","24.0000"
"08/06/2019 08:24:58pm","8.3916","MTR","24.0000"
"07/06/2019 08:20:51pm","8.3916","MTR","24.0000"
"06/06/2019 08:17:36pm","8.4183","MTR","24.0000"
"05/06/2019 08:14:02am","8.4451","MTR","24.0000"
"04/06/2019 08:11:59pm","8.4183","MTR","23.0000"
"03/06/2019 08:07:52pm","8.4986","MTR","23.0000"
"18/03/2019 04:22:13pm","16.9193","MTR","25.0000"
